2017 Oct 11 16:59:08 [10] INFO  - ,,,Production Version,,,No Equity Longs (Method 1),,,No Net Notional Eq Long (Method 2),,
2017 Oct 11 16:59:08 [10] INFO  - ,9/7/2007 12:00:00 AM,1.06%,0.31%,-0.75%,1.07%,0.57%,-0.50%,1.07%,0.37%,-0.80%,1.18%
2017 Oct 11 16:59:08 [10] INFO  - ,9/14/2007 12:00:00 AM,1.17%,0.20%,0.57%,-0.34%,-0.03%,0.14%,-0.17%,0.03%,-0.07%,0.10%
2017 Oct 11 16:59:08 [10] INFO  - ,9/21/2007 12:00:00 AM,1.24%,1.01%,1.95%,-0.97%,0.51%,1.15%,-0.66%,0.72%,0.92%,-0.22%
2017 Oct 11 16:59:08 [10] INFO  - ,9/28/2007 12:00:00 AM,1.93%,0.55%,0.20%,0.34%,0.54%,0.19%,0.35%,0.50%,0.11%,0.37%
2017 Oct 11 16:59:08 [10] INFO  - ,10/5/2007 12:00:00 AM,0.76%,-0.61%,0.58%,-1.19%,-0.80%,0.45%,-1.24%,-0.61%,0.58%,-1.19%
2017 Oct 11 16:59:08 [10] INFO  - ,10/12/2007 12:00:00 AM,-0.56%,1.93%,2.27%,-0.34%,1.87%,2.20%,-0.33%,1.93%,2.27%,-0.34%
2017 Oct 11 16:59:08 [10] INFO  - ,10/19/2007 12:00:00 AM,1.41%,-0.42%,-1.51%,1.09%,-0.38%,-1.47%,1.10%,-0.42%,-1.51%,1.09%
2017 Oct 11 16:59:08 [10] INFO  - ,10/26/2007 12:00:00 AM,1.15%,1.84%,2.01%,-0.16%,1.64%,1.80%,-0.15%,1.65%,1.79%,-0.12%
2017 Oct 11 16:59:08 [10] INFO  - ,11/2/2007 12:00:00 AM,-0.62%,1.75%,1.90%,-0.13%,1.88%,2.06%,-0.16%,1.88%,2.06%,-0.15%
2017 Oct 11 16:59:08 [10] INFO  - ,11/9/2007 12:00:00 AM,0.25%,0.25%,0.17%,0.07%,1.08%,1.07%,0.00%,1.05%,1.07%,-0.03%
2017 Oct 11 16:59:08 [10] INFO  - ,11/16/2007 12:00:00 AM,-0.24%,-0.13%,-0.25%,0.13%,-0.01%,-0.14%,0.12%,0.00%,-0.14%,0.13%
2017 Oct 11 16:59:08 [10] INFO  - ,11/23/2007 12:00:00 AM,0.36%,0.63%,0.71%,-0.09%,1.17%,1.31%,-0.13%,1.16%,1.32%,-0.15%
2017 Oct 11 16:59:08 [10] INFO  - ,11/30/2007 12:00:00 AM,-0.01%,1.60%,1.54%,0.06%,0.44%,0.31%,0.16%,0.55%,0.41%,0.17%
2017 Oct 11 16:59:08 [10] INFO  - ,12/7/2007 12:00:00 AM,0.46%,1.36%,1.37%,0.00%,0.85%,0.78%,0.07%,0.86%,0.80%,0.06%
2017 Oct 11 16:59:08 [10] INFO  - ,12/14/2007 12:00:00 AM,0.00%,0.51%,-0.29%,0.78%,1.42%,1.00%,0.39%,1.30%,1.09%,0.20%
2017 Oct 11 16:59:08 [10] INFO  - ,12/21/2007 12:00:00 AM,1.14%,2.01%,1.37%,0.64%,1.61%,1.08%,0.52%,1.34%,0.72%,0.62%
2017 Oct 11 16:59:08 [10] INFO  - ,12/28/2007 12:00:00 AM,1.94%,0.62%,0.78%,-0.16%,0.53%,0.70%,-0.17%,0.55%,0.73%,-0.18%
2017 Oct 11 16:59:08 [10] INFO  - ,1/4/2008 12:00:00 AM,0.14%,0.18%,-0.56%,0.76%,1.40%,0.38%,1.02%,1.27%,0.62%,0.65%
2017 Oct 11 16:59:08 [10] INFO  - ,1/11/2008 12:00:00 AM,0.77%,-1.01%,-1.09%,0.04%,-0.30%,-0.31%,-0.01%,-0.34%,-0.36%,0.00%
2017 Oct 11 16:59:08 [10] INFO  - ,1/18/2008 12:00:00 AM,-1.18%,-2.34%,-2.50%,0.11%,-0.87%,-0.95%,0.07%,-1.39%,-1.50%,0.09%
2017 Oct 11 16:59:08 [10] INFO  - ,1/25/2008 12:00:00 AM,-0.83%,0.28%,-0.70%,1.02%,0.63%,-0.27%,0.92%,0.28%,-0.70%,1.02%
2017 Oct 11 16:59:08 [10] INFO  - ,2/1/2008 12:00:00 AM,-0.34%,0.93%,0.92%,-0.02%,0.84%,0.91%,-0.10%,0.93%,0.92%,-0.02%
2017 Oct 11 16:59:08 [10] INFO  - ,2/8/2008 12:00:00 AM,1.04%,2.48%,3.35%,-0.83%,2.58%,3.30%,-0.72%,2.48%,3.35%,-0.83%
2017 Oct 11 16:59:08 [10] INFO  - ,2/15/2008 12:00:00 AM,-0.48%,0.05%,0.63%,-0.60%,0.09%,0.63%,-0.56%,0.05%,0.63%,-0.60%
2017 Oct 11 16:59:08 [10] INFO  - ,2/22/2008 12:00:00 AM,1.66%,0.47%,0.48%,0.00%,0.41%,0.42%,-0.01%,0.47%,0.48%,0.00%
2017 Oct 11 16:59:08 [10] INFO  - ,2/29/2008 12:00:00 AM,1.60%,2.38%,4.36%,-1.97%,2.87%,4.88%,-1.99%,2.56%,4.54%,-1.96%
2017 Oct 11 16:59:08 [10] INFO  - ,3/7/2008 12:00:00 AM,0.69%,1.36%,1.20%,0.17%,1.57%,1.38%,0.20%,1.36%,1.20%,0.17%
2017 Oct 11 16:59:08 [10] INFO  - ,3/14/2008 12:00:00 AM,0.61%,0.61%,0.83%,-0.22%,0.66%,0.89%,-0.23%,0.61%,0.83%,-0.22%
2017 Oct 11 16:59:08 [10] INFO  - ,3/21/2008 12:00:00 AM,1.88%,-0.12%,-1.43%,1.31%,-0.24%,-1.62%,1.39%,-0.12%,-1.43%,1.31%
2017 Oct 11 16:59:08 [10] INFO  - ,3/28/2008 12:00:00 AM,0.04%,-0.82%,-0.51%,-0.34%,-0.76%,-0.36%,-0.42%,-0.82%,-0.51%,-0.34%
2017 Oct 11 16:59:08 [10] INFO  - ,4/4/2008 12:00:00 AM,-0.95%,-2.20%,-2.36%,0.17%,-2.57%,-2.76%,0.20%,-2.19%,-2.35%,0.17%
2017 Oct 11 16:59:08 [10] INFO  - ,4/11/2008 12:00:00 AM,0.58%,0.68%,1.71%,-1.04%,1.62%,2.57%,-0.94%,1.68%,2.66%,-0.96%
2017 Oct 11 16:59:08 [10] INFO  - ,4/18/2008 12:00:00 AM,-1.81%,0.20%,0.62%,-0.38%,-1.32%,-0.97%,-0.33%,-1.32%,-0.99%,-0.32%
2017 Oct 11 16:59:08 [10] INFO  - ,4/25/2008 12:00:00 AM,0.69%,-0.02%,0.06%,-0.08%,-0.07%,0.02%,-0.08%,0.03%,0.13%,-0.09%
2017 Oct 11 16:59:08 [10] INFO  - ,5/2/2008 12:00:00 AM,-0.80%,0.27%,0.16%,0.12%,-0.18%,-0.25%,0.07%,-0.18%,-0.25%,0.07%
2017 Oct 11 16:59:08 [10] INFO  - ,5/9/2008 12:00:00 AM,-2.17%,-1.34%,-0.96%,-0.40%,-1.00%,-0.65%,-0.37%,-0.99%,-0.66%,-0.35%
2017 Oct 11 16:59:08 [10] INFO  - ,5/16/2008 12:00:00 AM,0.90%,1.92%,2.17%,-0.24%,1.22%,1.45%,-0.24%,1.24%,1.45%,-0.21%
2017 Oct 11 16:59:08 [10] INFO  - ,5/23/2008 12:00:00 AM,-0.43%,-0.72%,-0.35%,-0.37%,0.31%,0.97%,-0.67%,0.15%,1.04%,-0.90%
2017 Oct 11 16:59:08 [10] INFO  - ,5/30/2008 12:00:00 AM,2.21%,1.04%,1.07%,-0.06%,0.60%,0.56%,0.01%,0.59%,0.56%,0.01%
2017 Oct 11 16:59:08 [10] INFO  - ,6/6/2008 12:00:00 AM,0.57%,-1.78%,-1.66%,-0.14%,-0.40%,-0.14%,-0.27%,-0.37%,-0.11%,-0.27%
2017 Oct 11 16:59:08 [10] INFO  - ,6/13/2008 12:00:00 AM,-0.34%,1.27%,1.50%,-0.19%,1.93%,2.21%,-0.24%,1.74%,1.99%,-0.24%
2017 Oct 11 16:59:08 [10] INFO  - ,6/20/2008 12:00:00 AM,0.79%,-0.41%,-0.59%,0.19%,0.43%,0.40%,0.03%,0.38%,0.34%,0.05%
2017 Oct 11 16:59:08 [10] INFO  - ,6/27/2008 12:00:00 AM,1.07%,-0.04%,-0.17%,0.11%,0.54%,0.48%,0.05%,0.10%,0.00%,0.08%
2017 Oct 11 16:59:08 [10] INFO  - ,7/4/2008 12:00:00 AM,0.94%,1.09%,1.78%,-0.69%,1.56%,2.25%,-0.68%,1.09%,1.78%,-0.69%
2017 Oct 11 16:59:08 [10] INFO  - ,7/11/2008 12:00:00 AM,0.27%,3.02%,-1.79%,4.79%,2.98%,-1.83%,4.79%,3.02%,-1.79%,4.79%
2017 Oct 11 16:59:08 [10] INFO  - ,7/18/2008 12:00:00 AM,-0.21%,-1.76%,-1.87%,0.11%,-1.76%,-1.87%,0.12%,-1.76%,-1.87%,0.11%
2017 Oct 11 16:59:08 [10] INFO  - ,7/25/2008 12:00:00 AM,-0.40%,-1.83%,-1.93%,0.13%,-1.76%,-1.85%,0.12%,-1.83%,-1.93%,0.13%
2017 Oct 11 16:59:08 [10] INFO  - ,8/1/2008 12:00:00 AM,1.04%,0.00%,-0.56%,0.56%,0.01%,-0.53%,0.55%,0.00%,-0.56%,0.56%
2017 Oct 11 16:59:08 [10] INFO  - ,8/8/2008 12:00:00 AM,0.23%,0.13%,-2.51%,2.64%,-0.15%,-2.88%,2.74%,0.13%,-2.51%,2.64%
2017 Oct 11 16:59:08 [10] INFO  - ,8/15/2008 12:00:00 AM,0.80%,0.31%,-1.02%,1.36%,0.24%,-0.95%,1.24%,-0.08%,-1.31%,1.26%
2017 Oct 11 16:59:08 [10] INFO  - ,8/22/2008 12:00:00 AM,0.44%,-0.14%,-0.72%,0.55%,0.40%,-0.25%,0.64%,0.37%,-0.25%,0.60%
2017 Oct 11 16:59:08 [10] INFO  - ,8/29/2008 12:00:00 AM,0.38%,-0.72%,-0.64%,-0.08%,-0.58%,-0.47%,-0.10%,-0.72%,-0.64%,-0.08%
2017 Oct 11 16:59:08 [10] INFO  - ,9/5/2008 12:00:00 AM,0.57%,2.33%,1.80%,0.47%,3.77%,3.13%,0.57%,2.05%,1.47%,0.53%
2017 Oct 11 16:59:08 [10] INFO  - ,9/12/2008 12:00:00 AM,-0.41%,-0.01%,-0.84%,0.80%,-0.25%,-1.02%,0.74%,-0.01%,-0.84%,0.80%
2017 Oct 11 16:59:08 [10] INFO  - ,9/19/2008 12:00:00 AM,1.25%,0.09%,0.63%,-0.53%,0.02%,0.71%,-0.65%,0.09%,0.63%,-0.53%
2017 Oct 11 16:59:08 [10] INFO  - ,9/26/2008 12:00:00 AM,1.18%,0.70%,-0.06%,0.73%,0.95%,-0.01%,0.93%,0.70%,-0.06%,0.73%
2017 Oct 11 16:59:08 [10] INFO  - ,10/3/2008 12:00:00 AM,2.56%,1.85%,0.90%,0.97%,2.15%,0.97%,1.18%,1.85%,0.90%,0.97%
2017 Oct 11 16:59:08 [10] INFO  - ,10/10/2008 12:00:00 AM,3.22%,1.97%,1.63%,0.32%,2.49%,1.66%,0.80%,1.97%,1.63%,0.32%
2017 Oct 11 16:59:08 [10] INFO  - ,10/17/2008 12:00:00 AM,-0.25%,0.83%,-0.21%,1.01%,0.13%,-0.17%,0.27%,0.47%,-0.07%,0.50%
2017 Oct 11 16:59:08 [10] INFO  - ,10/24/2008 12:00:00 AM,1.33%,0.75%,0.88%,-0.10%,0.75%,0.88%,-0.10%,0.75%,0.88%,-0.10%
2017 Oct 11 16:59:08 [10] INFO  - ,10/31/2008 12:00:00 AM,-0.88%,-1.13%,-1.20%,0.06%,-1.13%,-1.20%,0.06%,-1.13%,-1.20%,0.06%
2017 Oct 11 16:59:08 [10] INFO  - ,11/7/2008 12:00:00 AM,0.91%,0.91%,1.01%,-0.08%,0.90%,1.01%,-0.09%,0.91%,1.01%,-0.08%
2017 Oct 11 16:59:08 [10] INFO  - ,11/14/2008 12:00:00 AM,0.21%,1.38%,1.50%,-0.12%,1.38%,1.50%,-0.12%,1.38%,1.50%,-0.12%
2017 Oct 11 16:59:08 [10] INFO  - ,11/21/2008 12:00:00 AM,0.64%,1.70%,1.90%,-0.22%,1.70%,1.90%,-0.22%,1.70%,1.90%,-0.22%
2017 Oct 11 16:59:08 [10] INFO  - ,11/28/2008 12:00:00 AM,0.81%,-0.31%,-0.34%,0.02%,-0.31%,-0.34%,0.02%,-0.31%,-0.34%,0.02%
2017 Oct 11 16:59:08 [10] INFO  - ,12/5/2008 12:00:00 AM,0.20%,1.81%,2.02%,-0.19%,1.81%,2.02%,-0.19%,1.81%,2.02%,-0.19%
2017 Oct 11 16:59:08 [10] INFO  - ,12/12/2008 12:00:00 AM,0.25%,-0.02%,-0.06%,0.03%,-0.02%,-0.06%,0.03%,-0.02%,-0.06%,0.03%
2017 Oct 11 16:59:08 [10] INFO  - ,12/19/2008 12:00:00 AM,0.93%,0.87%,1.11%,-0.22%,0.87%,1.11%,-0.22%,0.87%,1.11%,-0.22%
2017 Oct 11 16:59:08 [10] INFO  - ,12/26/2008 12:00:00 AM,0.02%,0.13%,0.19%,-0.06%,0.13%,0.19%,-0.06%,0.13%,0.19%,-0.06%
2017 Oct 11 16:59:08 [10] INFO  - ,1/2/2009 12:00:00 AM,-0.16%,-1.61%,-1.90%,0.29%,-1.72%,-2.03%,0.30%,-1.61%,-1.90%,0.29%
2017 Oct 11 16:59:08 [10] INFO  - ,1/9/2009 12:00:00 AM,0.51%,0.19%,0.25%,-0.07%,0.26%,0.32%,-0.07%,0.19%,0.25%,-0.07%
2017 Oct 11 16:59:08 [10] INFO  - ,1/16/2009 12:00:00 AM,0.29%,1.59%,1.71%,-0.08%,1.62%,1.74%,-0.08%,1.59%,1.71%,-0.08%
2017 Oct 11 16:59:08 [10] INFO  - ,1/23/2009 12:00:00 AM,-0.45%,1.54%,1.54%,0.00%,1.57%,1.57%,0.00%,1.54%,1.54%,0.00%
2017 Oct 11 16:59:08 [10] INFO  - ,1/30/2009 12:00:00 AM,-0.64%,-0.34%,-0.45%,0.16%,-0.33%,-0.46%,0.16%,-0.34%,-0.45%,0.16%
2017 Oct 11 16:59:08 [10] INFO  - ,2/6/2009 12:00:00 AM,0.06%,-1.37%,-1.28%,-0.10%,-1.44%,-1.35%,-0.11%,-1.37%,-1.28%,-0.10%
2017 Oct 11 16:59:08 [10] INFO  - ,2/13/2009 12:00:00 AM,0.21%,0.64%,1.54%,-0.93%,0.69%,1.59%,-0.93%,0.64%,1.54%,-0.93%
2017 Oct 11 16:59:08 [10] INFO  - ,2/20/2009 12:00:00 AM,0.36%,0.05%,1.03%,-0.97%,0.13%,1.09%,-0.94%,0.05%,1.03%,-0.97%
2017 Oct 11 16:59:08 [10] INFO  - ,2/27/2009 12:00:00 AM,-0.57%,0.10%,-0.18%,0.28%,0.12%,-0.17%,0.28%,0.10%,-0.18%,0.28%
2017 Oct 11 16:59:08 [10] INFO  - ,3/6/2009 12:00:00 AM,0.62%,0.56%,1.29%,-0.72%,0.56%,1.29%,-0.72%,0.56%,1.29%,-0.72%
2017 Oct 11 16:59:08 [10] INFO  - ,3/13/2009 12:00:00 AM,-0.67%,-0.99%,-1.07%,0.06%,-0.99%,-1.07%,0.06%,-0.99%,-1.07%,0.06%
2017 Oct 11 16:59:08 [10] INFO  - ,3/20/2009 12:00:00 AM,0.65%,1.40%,0.35%,1.04%,1.49%,0.39%,1.09%,1.40%,0.35%,1.04%
2017 Oct 11 16:59:08 [10] INFO  - ,3/27/2009 12:00:00 AM,0.45%,-0.13%,-0.19%,0.06%,-0.43%,-0.34%,-0.10%,-0.13%,-0.19%,0.06%
2017 Oct 11 16:59:08 [10] INFO  - ,4/3/2009 12:00:00 AM,0.31%,-1.23%,-0.59%,-0.63%,-1.71%,-0.83%,-0.87%,-1.23%,-0.59%,-0.63%
2017 Oct 11 16:59:08 [10] INFO  - ,4/10/2009 12:00:00 AM,0.23%,-0.23%,1.15%,-1.39%,-0.66%,0.79%,-1.45%,-0.69%,0.82%,-1.50%
2017 Oct 11 16:59:08 [10] INFO  - ,4/17/2009 12:00:00 AM,0.21%,-0.08%,-1.11%,1.07%,-0.94%,-1.81%,0.88%,-0.60%,-1.52%,0.94%
2017 Oct 11 16:59:08 [10] INFO  - ,4/24/2009 12:00:00 AM,-0.04%,1.31%,2.14%,-0.82%,1.49%,2.49%,-0.99%,1.38%,2.32%,-0.94%
2017 Oct 11 16:59:08 [10] INFO  - ,5/1/2009 12:00:00 AM,-0.92%,1.21%,0.77%,0.44%,0.43%,0.43%,0.03%,0.47%,0.43%,0.08%
2017 Oct 11 16:59:08 [10] INFO  - ,5/8/2009 12:00:00 AM,1.76%,1.05%,0.51%,0.55%,-0.89%,-0.29%,-0.61%,-0.79%,-0.30%,-0.51%
2017 Oct 11 16:59:08 [10] INFO  - ,5/15/2009 12:00:00 AM,0.47%,0.80%,0.60%,0.20%,1.41%,1.08%,0.33%,1.25%,1.15%,0.11%
2017 Oct 11 16:59:08 [10] INFO  - ,5/22/2009 12:00:00 AM,2.12%,2.94%,3.66%,-0.75%,2.35%,2.93%,-0.61%,2.43%,2.88%,-0.48%
2017 Oct 11 16:59:08 [10] INFO  - ,5/29/2009 12:00:00 AM,1.65%,1.67%,2.14%,-0.47%,0.72%,1.29%,-0.58%,0.86%,1.09%,-0.22%
2017 Oct 11 16:59:08 [10] INFO  - ,6/5/2009 12:00:00 AM,-0.12%,-2.16%,-2.85%,0.70%,-3.30%,-3.90%,0.61%,-3.29%,-3.94%,0.67%
2017 Oct 11 16:59:08 [10] INFO  - ,6/12/2009 12:00:00 AM,0.23%,-0.45%,-0.86%,0.43%,-0.57%,-0.82%,0.27%,-0.57%,-0.82%,0.26%
2017 Oct 11 16:59:08 [10] INFO  - ,6/19/2009 12:00:00 AM,-2.46%,-1.41%,-1.00%,-0.44%,-0.73%,-0.33%,-0.42%,-0.71%,-0.32%,-0.40%
2017 Oct 11 16:59:08 [10] INFO  - ,6/26/2009 12:00:00 AM,-0.26%,0.70%,-0.26%,0.96%,0.79%,-0.23%,1.02%,0.71%,-0.19%,0.90%
2017 Oct 11 16:59:08 [10] INFO  - ,7/3/2009 12:00:00 AM,-0.34%,0.44%,-0.10%,0.51%,0.79%,0.26%,0.52%,0.79%,0.26%,0.52%
2017 Oct 11 16:59:08 [10] INFO  - ,7/10/2009 12:00:00 AM,-0.89%,-0.53%,-1.44%,0.91%,0.28%,-1.05%,1.34%,0.28%,-1.05%,1.34%
2017 Oct 11 16:59:08 [10] INFO  - ,7/17/2009 12:00:00 AM,0.91%,2.28%,2.68%,-0.43%,0.52%,0.76%,-0.24%,0.52%,0.76%,-0.24%
2017 Oct 11 16:59:08 [10] INFO  - ,7/24/2009 12:00:00 AM,2.89%,1.19%,1.36%,-0.16%,0.33%,0.41%,-0.06%,0.34%,0.39%,-0.05%
2017 Oct 11 16:59:08 [10] INFO  - ,7/31/2009 12:00:00 AM,0.26%,-0.10%,0.53%,-0.65%,-0.35%,0.27%,-0.64%,-0.31%,0.26%,-0.58%
2017 Oct 11 16:59:08 [10] INFO  - ,8/7/2009 12:00:00 AM,1.11%,1.70%,0.03%,1.66%,1.16%,-0.33%,1.47%,1.34%,-0.38%,1.70%
2017 Oct 11 16:59:08 [10] INFO  - ,8/14/2009 12:00:00 AM,-1.85%,0.80%,0.71%,0.08%,0.63%,0.62%,0.00%,0.71%,0.50%,0.20%
2017 Oct 11 16:59:08 [10] INFO  - ,8/21/2009 12:00:00 AM,-0.32%,1.74%,0.40%,1.32%,1.35%,0.27%,1.07%,1.44%,0.36%,1.07%
2017 Oct 11 16:59:08 [10] INFO  - ,8/28/2009 12:00:00 AM,0.70%,1.43%,0.76%,0.69%,0.56%,0.41%,0.16%,0.62%,0.40%,0.23%
2017 Oct 11 16:59:08 [10] INFO  - ,9/4/2009 12:00:00 AM,0.06%,0.13%,0.65%,-0.50%,0.36%,0.65%,-0.28%,0.21%,0.71%,-0.48%
2017 Oct 11 16:59:08 [10] INFO  - ,9/11/2009 12:00:00 AM,1.88%,1.61%,1.90%,-0.29%,0.16%,0.96%,-0.80%,0.50%,0.81%,-0.30%
2017 Oct 11 16:59:08 [10] INFO  - ,9/18/2009 12:00:00 AM,0.67%,-1.34%,-0.71%,-0.63%,-2.12%,-1.20%,-0.92%,-1.61%,-1.45%,-0.17%
2017 Oct 11 16:59:08 [10] INFO  - ,9/25/2009 12:00:00 AM,-0.94%,-2.20%,-2.39%,0.20%,-1.54%,-1.94%,0.41%,-2.21%,-1.76%,-0.45%
2017 Oct 11 16:59:08 [10] INFO  - ,10/2/2009 12:00:00 AM,-0.44%,2.56%,0.95%,1.60%,3.12%,1.28%,1.83%,2.82%,1.40%,1.41%
2017 Oct 11 16:59:08 [10] INFO  - ,10/9/2009 12:00:00 AM,0.70%,-0.69%,0.66%,-1.36%,-1.49%,0.07%,-1.56%,-1.23%,-0.22%,-1.02%
2017 Oct 11 16:59:08 [10] INFO  - ,10/16/2009 12:00:00 AM,1.19%,1.17%,0.95%,0.22%,0.81%,0.69%,0.13%,0.86%,0.64%,0.23%
2017 Oct 11 16:59:08 [10] INFO  - ,10/23/2009 12:00:00 AM,0.89%,0.14%,0.16%,0.01%,0.04%,0.08%,-0.02%,-0.04%,0.12%,-0.14%
2017 Oct 11 16:59:08 [10] INFO  - ,10/30/2009 12:00:00 AM,2.33%,0.00%,-1.07%,1.06%,0.99%,-0.46%,1.44%,0.67%,-0.23%,0.91%
2017 Oct 11 16:59:08 [10] INFO  - ,11/6/2009 12:00:00 AM,-0.19%,1.50%,1.51%,0.00%,0.77%,0.70%,0.08%,0.79%,0.68%,0.12%
2017 Oct 11 16:59:08 [10] INFO  - ,11/13/2009 12:00:00 AM,0.78%,2.65%,2.32%,0.30%,1.51%,1.56%,-0.08%,1.51%,1.56%,-0.07%
2017 Oct 11 16:59:08 [10] INFO  - ,11/20/2009 12:00:00 AM,0.29%,1.20%,1.00%,0.21%,1.44%,1.08%,0.37%,1.43%,1.10%,0.34%
2017 Oct 11 16:59:08 [10] INFO  - ,11/27/2009 12:00:00 AM,0.70%,-0.46%,-0.41%,-0.05%,-0.12%,-0.12%,0.03%,-0.13%,-0.11%,0.01%
2017 Oct 11 16:59:08 [10] INFO  - ,12/4/2009 12:00:00 AM,-0.81%,-0.39%,-0.94%,0.55%,-1.23%,-1.44%,0.21%,-1.16%,-1.47%,0.31%
2017 Oct 11 16:59:08 [10] INFO  - ,12/11/2009 12:00:00 AM,1.14%,-0.62%,-0.48%,-0.17%,-0.42%,-0.39%,-0.06%,-0.40%,-0.40%,-0.03%
2017 Oct 11 16:59:08 [10] INFO  - ,12/18/2009 12:00:00 AM,0.91%,0.20%,0.19%,0.01%,0.29%,0.23%,0.07%,0.25%,0.24%,0.01%
2017 Oct 11 16:59:08 [10] INFO  - ,12/25/2009 12:00:00 AM,-0.70%,0.00%,-0.03%,0.02%,-0.62%,-0.65%,0.02%,-0.52%,-0.76%,0.24%
2017 Oct 11 16:59:08 [10] INFO  - ,12/31/2009 12:00:00 AM,0.34%,0.44%,-0.31%,0.76%,0.32%,-0.34%,0.66%,0.30%,-0.26%,0.56%
2017 Oct 11 16:59:08 [10] INFO  - ,1/8/2010 12:00:00 AM,1.49%,4.11%,4.44%,-0.31%,3.50%,3.65%,-0.14%,3.55%,3.58%,-0.02%
2017 Oct 11 16:59:08 [10] INFO  - ,1/15/2010 12:00:00 AM,0.70%,-1.46%,-1.85%,0.39%,-1.11%,-1.46%,0.34%,-1.16%,-1.39%,0.21%
2017 Oct 11 16:59:08 [10] INFO  - ,1/22/2010 12:00:00 AM,-0.89%,-1.40%,-1.55%,0.12%,-0.64%,-0.98%,0.31%,-0.70%,-0.79%,0.06%
2017 Oct 11 16:59:08 [10] INFO  - ,1/29/2010 12:00:00 AM,-0.59%,-0.22%,-0.52%,0.29%,0.53%,0.27%,0.25%,0.53%,0.27%,0.25%
2017 Oct 11 16:59:08 [10] INFO  - ,2/5/2010 12:00:00 AM,0.56%,-0.37%,-0.02%,-0.32%,0.29%,0.58%,-0.27%,0.29%,0.58%,-0.27%
2017 Oct 11 16:59:08 [10] INFO  - ,2/12/2010 12:00:00 AM,0.81%,0.86%,1.84%,-0.96%,0.08%,1.00%,-0.90%,0.08%,1.00%,-0.90%
2017 Oct 11 16:59:08 [10] INFO  - ,2/19/2010 12:00:00 AM,-0.02%,1.48%,1.62%,-0.15%,0.47%,0.43%,0.04%,0.47%,0.40%,0.08%
2017 Oct 11 16:59:08 [10] INFO  - ,2/26/2010 12:00:00 AM,2.29%,1.35%,1.79%,-0.46%,1.47%,1.90%,-0.44%,1.48%,1.89%,-0.43%
2017 Oct 11 16:59:08 [10] INFO  - ,3/5/2010 12:00:00 AM,1.25%,1.29%,1.06%,0.23%,0.13%,0.10%,0.03%,0.13%,0.10%,0.03%
2017 Oct 11 16:59:08 [10] INFO  - ,3/12/2010 12:00:00 AM,0.22%,-0.05%,0.18%,-0.22%,-0.53%,-0.31%,-0.21%,-0.53%,-0.32%,-0.20%
2017 Oct 11 16:59:08 [10] INFO  - ,3/19/2010 12:00:00 AM,1.19%,1.30%,1.74%,-0.45%,1.05%,1.49%,-0.44%,1.09%,1.43%,-0.35%
