2017 Oct 11 17:00:45 [8] INFO  - |||Production Version|||No Equity Longs (Method 1)|||No Net Notional Eq Long (Method 2)||
2017 Oct 11 17:00:49 [8] INFO  - |Date|Reg/Cross|Trend+Counter|Trend|Counter|Trend+Counter|Trend|Counter|Trend+Counter|Trend|Counter
2017 Oct 11 17:00:50 [8] INFO  - |6/15/2007 12:00:00 AM|0.58%|1.24%|1.42%|-0.18%|0.93%|1.08%|-0.15%|0.99%|1.08%|-0.09%
2017 Oct 11 17:00:51 [8] INFO  - |6/22/2007 12:00:00 AM|1.02%|0.41%|0.40%|0.02%|0.20%|0.16%|0.05%|0.16%|0.17%|0.01%
2017 Oct 11 17:00:51 [8] INFO  - |6/29/2007 12:00:00 AM|0.84%|-0.31%|-0.37%|0.07%|-0.36%|-0.42%|0.07%|-0.32%|-0.43%|0.13%
2017 Oct 11 17:00:52 [8] INFO  - |7/6/2007 12:00:00 AM|1.04%|4.63%|5.17%|-0.55%|4.44%|4.94%|-0.51%|4.49%|4.94%|-0.46%
2017 Oct 11 17:00:52 [8] INFO  - |7/13/2007 12:00:00 AM|1.19%|-0.66%|-0.74%|0.09%|-0.69%|-0.78%|0.09%|-0.67%|-0.78%|0.11%
2017 Oct 11 17:00:52 [8] INFO  - |7/20/2007 12:00:00 AM|-0.77%|-0.88%|-1.02%|0.13%|-0.77%|-0.90%|0.13%|-0.78%|-0.90%|0.12%
2017 Oct 11 17:00:52 [8] INFO  - |7/27/2007 12:00:00 AM|0.00%|-1.91%|-2.33%|0.41%|-1.28%|-1.63%|0.35%|-1.38%|-1.63%|0.25%
